,aimag,sum,town,point_name,PID,mountCoLtd,centerID,Y,X,H_Baltic,B_gradWGS84,B_minWGS84,B_secWGS84,L_gradWGS84,L_minWGS84,L_secWGS84,N_UTM,E_UTM
1,Архангай ,Батцэнгэл,,PL-231,GPS65100002,"""Топсүрвэй"" ХХК",PL-231,47.7913888888889,101.976944444444,1427.339,47,47,29.748,101,58,37.997,5297430.255,722970.643
2,Архангай ,Батцэнгэл,,PL-061,GPS65100003,"""Топсүрвэй"" ХХК",PL-061,47.7916666666667,101.968888888889,1427.827,47,47,30.76,101,58,8.1808,5297437.643,722349.211
3,Архангай ,Батцэнгэл,,РL-172,GPS65100004,"""Топсүрвэй"" ХХК",РL-172,47.8025,101.9975,1435.168,47,48,9.5009,101,59,51.066,5298716.139,724442.992
4,Архангай ,Батцэнгэл,,РL-1717,GPS65100005,"""Топсүрвэй"" ХХК",РL-1717,47.8072222222222,101.988055555556,1432.740,47,48,26.25,101,59,17.072,5299205.769,723716.014
5,Архангай ,Батцэнгэл,,PL-33,GPS65100006,"""Топсүрвэй"" ХХК",PL-33,47.7936111111111,101.974722222222,1426.680,47,47,37.527,101,58,29.203,5297663.338,722778.462
6,Архангай ,Батцэнгэл,,PL-232,GPS65100007,"""Топсүрвэй"" ХХК",PL-232,47.7944444444444,101.979444444444,1426.926,47,47,40.47,101,58,46.324,5297767.907,723131.098
7,Архангай ,Батцэнгэл,,PL-192,GPS65100008,"""Топсүрвэй"" ХХК",PL-192,47.7980555555556,101.971666666667,1455.137,47,47,53.471,101,58,18.197,5298146.716,722530.600
8,Архангай ,Булган,,PL-363,GPS65120002,"""Топсүрвэй"" ХХК",PL-363,47.3180555555556,101.109722222222,1921.627,47,19,5.0893,101,6,35.3319,5242670.721,659442.576
9,Архангай ,Булган,,PL-365,GPS65120003,"""Топсүрвэй"" ХХК",PL-365,47.3202777777778,101.112222222222,1908.499,47,19,13.3462,101,6,44.6654,5242930.911,659631.587
10,Архангай ,Булган,,PL-653,GPS65120004,"""Топсүрвэй"" ХХК",PL-653,47.3163888888889,101.130555555556,1885.516,47,18,59.2184,101,7,50.0779,5242532.199,661016.556
11,Архангай ,Булган,,PL-569,GPS65120005,"""Топсүрвэй"" ХХК",PL-569,47.3155555555556,101.123611111111,1900.193,47,18,56.4942,101,7,25.6108,5242434.083,660505.234
12,Архангай ,Булган,,PL-332,GPS65120006,"""Топсүрвэй"" ХХК",PL-332,47.3191666666667,101.123611111111,1890.722,47,19,9.7569,101,7,25.1583,5242843.224,660484.574
13,Архангай ,Булган,,PL-553,GPS65120007,"""Топсүрвэй"" ХХК",PL-553,47.3177777777778,101.116944444444,1906.283,47,19,4.7751,101,7,1.0754,5242675.682,659983.232
14,Архангай ,Жаргалант,,GPS-6044,GPS65200002,"""Топсүрвэй"" ХХК",GPS-6044,48.7213888888889,100.783611111111,1650.995,48,43,17.9169,100,47,1.619,5398047.951,631193.177
15,Архангай ,Жаргалант,,PL-3583,GPS65200003,"""Топсүрвэй"" ХХК",PL-3583,48.7286111111111,100.776944444444,1621.275,48,43,43.3541,100,46,37.9646,5398822.057,630691.626
16,Архангай ,Жаргалант,,PL-3479,GPS65200004,"""Топсүрвэй"" ХХК",PL-3479,48.7302777777778,100.759722222222,1595.837,48,43,49.3268,100,45,35.461,5398976.844,629410.654
17,Архангай ,Жаргалант,,PL-3562,GPS65200005,"""Топсүрвэй"" ХХК",PL-3562,48.7152777777778,100.778333333333,1620.858,48,42,55.0094,100,46,42.8908,5397331.722,630827.082
18,Архангай ,Ихтамир,,PL-654,GPS65170002,"""Топсүрвэй"" ХХК",PL-654,47.5922222222222,101.206111111111,1622.239,47,35,32.9007,101,12,22.682,5273365.424,665868.418
19,Архангай ,Ихтамир,,PL-334,GPS65170003,"""Топсүрвэй"" ХХК",PL-334,47.5980555555556,101.201944444444,1628.724,47,35,53.6893,101,12,7.8538,5273998.360,665540.550
20,Архангай ,Ихтамир,,PL-336,GPS65170004,"""Топсүрвэй"" ХХК",PL-336,47.5919444444445,101.201666666667,1622.886,47,35,31.4763,101,12,6.3732,5273311.775,665529.102
21,Архангай ,Ихтамир,,GPS-6156,GPS65170005,"""Топсүрвэй"" ХХК",GPS-6156,47.5927777777778,101.191111111111,1631.070,47,35,34.1313,101,11,28.7388,5273371.477,664740.888
22,Архангай ,Ихтамир,,PL-4444,GPS65170006,"""Топсүрвэй"" ХХК",PL-4444,47.5947222222222,101.213055555556,1619.780,47,35,41.5868,101,12,47.955,5273648.595,666388.522
23,Архангай ,Өгийнуур,,GPS-065,GPS65020002,"""Топсүрвэй"" ХХК",GPS-065,47.6922222222222,102.553611111111,1348.000,47,41,32.6647,102,33,13.524,5285012.149,316444.348
24,Архангай ,Өгийнуур,,PL-1019,GPS65020003,"""Топсүрвэй"" ХХК",PL-1019,47.6683333333333,102.546388888889,1350.353,47,40,6.3732,102,32,47.462,5282365.560,315816.769
25,Архангай ,Өгийнуур,,PL-116,GPS65020004,"""Топсүрвэй"" ХХК",PL-116,47.6716666666667,102.553333333333,1348.972,47,40,18.2887,102,33,12.4139,5282716.930,316348.676
26,Архангай ,Өгийнуур,,PL-219,GPS65020005,"""Топсүрвэй"" ХХК",PL-219,47.675,102.552222222222,1349.601,47,40,30.4788,102,33,8.3996,5283095.877,316276.870
27,Архангай ,Өгийнуур,,PL-200,GPS65020006,"""Топсүрвэй"" ХХК",PL-200,47.6680555555556,102.550277777778,1349.445,47,40,5.1141,102,33,1.669,5282317.318,316111.781
28,Архангай ,Өгийнуур,,PL-163,GPS65020007,"""Топсүрвэй"" ХХК",PL-163,47.6663888888889,102.553333333333,1348.461,47,39,59.5332,102,33,12.4811,5282137.913,316331.789
29,Архангай ,Өгийнуур,,PL-152,GPS65020008,"""Топсүрвэй"" ХХК",PL-152,47.6697222222222,102.556388888889,1347.184,47,40,11.4406,102,33,23.7642,5282498.061,316578.665
30,Архангай ,Өлзийт,,PL-227,GPS65030002,"""Топсүрвэй"" ХХК",PL-227,48.1005555555556,102.561944444444,1299.158,48,6,2.6456,102,33,43.9954,5330371.153,318512.798
31,Архангай ,Өлзийт,,PL-1001,GPS65030003,"""Топсүрвэй"" ХХК",PL-1001,48.0972222222222,102.551944444444,1302.962,48,5,50.6007,102,33,7.4726,5330023.291,317745.726
