"[BAG]Баг, хороо","Баг, хороо",[AGE_GROUP5]Насны бүлэг,Насны бүлэг,2020 Жил,code
181,Завхан,2,0-4,7867,81
181,Завхан,3,5-9,7667,81
181,Завхан,4,10-14,7224,81
181,Завхан,5,15-19,5490,81
181,Завхан,6,20-24,6028,81
181,Завхан,7,25-29,5450,81
181,Завхан,8,30-34,4875,81
181,Завхан,9,35-39,5164,81
181,Завхан,10,40-44,5208,81
181,Завхан,11,45-49,4821,81
181,Завхан,12,50-54,4265,81
181,Завхан,13,55-59,3326,81
181,Завхан,14,60-64,2437,81
181,Завхан,15,65-69,1225,81
181,Завхан,16,70+,2184,81
182,Говь-Алтай,2,0-4,6449,82
182,Говь-Алтай,3,5-9,6094,82
182,Говь-Алтай,4,10-14,5479,82
182,Говь-Алтай,5,15-19,4780,82
182,Говь-Алтай,6,20-24,4911,82
182,Говь-Алтай,7,25-29,4275,82
182,Говь-Алтай,8,30-34,4227,82
182,Говь-Алтай,9,35-39,4259,82
182,Говь-Алтай,10,40-44,4032,82
182,Говь-Алтай,11,45-49,3817,82
182,Говь-Алтай,12,50-54,3281,82
182,Говь-Алтай,13,55-59,2500,82
182,Говь-Алтай,14,60-64,1798,82
182,Говь-Алтай,15,65-69,961,82
182,Говь-Алтай,16,70+,1480,82
183,Баян-Өлгий,2,0-4,14367,83
183,Баян-Өлгий,3,5-9,12629,83
183,Баян-Өлгий,4,10-14,10629,83
183,Баян-Өлгий,5,15-19,9743,83
183,Баян-Өлгий,6,20-24,8670,83
183,Баян-Өлгий,7,25-29,9098,83
183,Баян-Өлгий,8,30-34,8219,83
183,Баян-Өлгий,9,35-39,6832,83
183,Баян-Өлгий,10,40-44,6041,83
183,Баян-Өлгий,11,45-49,5407,83
183,Баян-Өлгий,12,50-54,4411,83
183,Баян-Өлгий,13,55-59,3581,83
183,Баян-Өлгий,14,60-64,2636,83
183,Баян-Өлгий,15,65-69,1379,83
183,Баян-Өлгий,16,70+,2211,83
184,Ховд,2,0-4,11180,84
184,Ховд,3,5-9,10645,84
184,Ховд,4,10-14,8560,84
184,Ховд,5,15-19,7240,84
184,Ховд,6,20-24,7884,84
184,Ховд,7,25-29,7077,84
184,Ховд,8,30-34,6591,84
184,Ховд,9,35-39,5671,84
184,Ховд,10,40-44,5409,84
184,Ховд,11,45-49,4981,84
184,Ховд,12,50-54,4306,84
184,Ховд,13,55-59,3505,84
184,Ховд,14,60-64,2497,84
184,Ховд,15,65-69,1373,84
184,Ховд,16,70+,2055,84
185,Увс,2,0-4,10350,85
185,Увс,3,5-9,9761,85
185,Увс,4,10-14,8660,85
185,Увс,5,15-19,7177,85
185,Увс,6,20-24,7363,85
185,Увс,7,25-29,6780,85
185,Увс,8,30-34,5927,85
185,Увс,9,35-39,5413,85
185,Увс,10,40-44,4965,85
185,Увс,11,45-49,4699,85
185,Увс,12,50-54,4450,85
185,Увс,13,55-59,3461,85
185,Увс,14,60-64,2294,85
185,Увс,15,65-69,1177,85
185,Увс,16,70+,1817,85
261,Орхон,2,0-4,11996,61
261,Орхон,3,5-9,11842,61
261,Орхон,4,10-14,9120,61
261,Орхон,5,15-19,6397,61
261,Орхон,6,20-24,6722,61
261,Орхон,7,25-29,8464,61
261,Орхон,8,30-34,9484,61
261,Орхон,9,35-39,7914,61
261,Орхон,10,40-44,6671,61
261,Орхон,11,45-49,6574,61
261,Орхон,12,50-54,6266,61
261,Орхон,13,55-59,5642,61
261,Орхон,14,60-64,3793,61
261,Орхон,15,65-69,1786,61
261,Орхон,16,70+,2690,61
262,Өвөрхангай,2,0-4,13327,62
262,Өвөрхангай,3,5-9,12796,62
262,Өвөрхангай,4,10-14,10911,62
262,Өвөрхангай,5,15-19,8823,62
262,Өвөрхангай,6,20-24,9682,62
262,Өвөрхангай,7,25-29,8806,62
262,Өвөрхангай,8,30-34,9047,62
262,Өвөрхангай,9,35-39,8175,62
262,Өвөрхангай,10,40-44,7791,62
262,Өвөрхангай,11,45-49,7176,62
262,Өвөрхангай,12,50-54,6175,62
262,Өвөрхангай,13,55-59,5026,62
262,Өвөрхангай,14,60-64,3555,62
262,Өвөрхангай,15,65-69,2118,62
262,Өвөрхангай,16,70+,3377,62
263,Булган,2,0-4,6341,63
263,Булган,3,5-9,6484,63
263,Булган,4,10-14,5506,63
263,Булган,5,15-19,4129,63
263,Булган,6,20-24,4645,63
263,Булган,7,25-29,4411,63
263,Булган,8,30-34,4256,63
263,Булган,9,35-39,4220,63
263,Булган,10,40-44,4305,63
263,Булган,11,45-49,4230,63
263,Булган,12,50-54,3910,63
263,Булган,13,55-59,3255,63
263,Булган,14,60-64,2551,63
