id ,aimag,sum,point_name,PID,B_gradWGS84,B_minWGS84,B_secWGS84,L_gradWGS84,L_minWGS84,L_secWGS84,N_UTM,E_UTM,ondor,B_degree,L_degree
1,Архангай,Батцэнгэл,650014,GPSB00001,48,12,4.533242,102,1,1.088113,5342972.9024,278357.2348,2057.563,48.2012592338889,102.016968920278
2,Архангай,Батцэнгэл,650015,GPSB00002,47,40,36.989234,101,48,5.07972,5284196.6551,710266.2522,1893.366,47.6769414538889,101.801411033333
3,Архангай,Жаргалант,650010,GPSB00003,48,43,8.790575,100,45,28.573892,5397722.0038,629298.8496,1779.991,48.7191084930556,100.757937192222
4,Архангай,Ихтамир,650006,GPSB00004,47,42,15.569468,100,59,15.132125,5285351.2938,649103.7007,2334.952,47.7043248522222,100.987536701389
5,Архангай,Өлзийт,650013,GPSB00005,48,13,52.141638,102,28,36.838481,5345069.9772,312637.1123,1827.007,48.231150455,102.476899578056
6,Архангай,Өлзийт,650018,GPSB00006,47,52,54.288103,102,47,27.520216,5305519.1461,334844.7165,1575.546,47.8817466952778,102.790977837778
7,Архангай,Өгийнуур,650017,GPSB00007,47,48,38.17266,102,16,38.466101,5298839.5268,296167.8613,1664.961,47.8106035166667,102.277351694722
8,Архангай,Өгийнуур,650019,GPSB00008,47,43,29.678646,102,45,20.896637,5288165.2121,331709.1263,1467.585,47.724910735,102.755804621389
9,Архангай,Өгийнуур,650020,GPSB00009,47,42,55.081412,103,12,26.965769,5286213.9513,365554.8808,1505.025,47.7153003922222,103.207490491389
10,Архангай,Өндөр-Улаан,650004,GPSB00010,48,4,45.385141,100,7,26.049746,5325722.1483,583708.998,2568.017,48.0792736502778,100.123902707222
11,Архангай,Өндөр-Улаан,650007,GPSB00011,48,10,46.814596,101,3,14.595483,5338310.2626,652686.8436,1718.224,48.1796707211111,101.054054300833
12,Архангай,Өндөр-Улаан,650008,GPSB00012,48,11,0.847878,101,5,15.066027,5338810.5325,655162.4832,1652.444,48.183568855,101.087518340833
13,Архангай,Тариат,6164,GPSB00013,48,9,2.998449,99,53,27.110065,5333448.6285,566260.2104,2063.052,48.1508329025,99.8908639069444
14,Архангай,Тариат,2,GPSB00014,48,9,10.582021,99,52,59.342827,5333676.1496,565683.8442,2064.348,48.1529394502778,99.8831507852778
15,Архангай,Тариат,2116,GPSB00015,48,9,36.952958,99,53,53.091183,5334503.192,566784.7441,2077.285,48.1602647105556,99.8980808841667
16,Архангай,Тариат,650002,GPSB00016,48,9,50.596755,100,3,7.458907,5335069.6355,578230.2157,2069.47,48.1640546541667,100.052071918611
17,Архангай,Тариат,650003,GPSB00017,48,10,30.38546,100,10,42.981365,5336434.5509,587620.0938,1962.048,48.1751070722222,100.178605934722
18,Архангай,Төвшрүүлэх,Дэл уул,L481278,47,30,16.818679,102,10,54.327859,5265098.8899,287774.7243,1631.74,47.5046718552778,102.181757738611
19,Архангай,Төвшрүүлэх,7010,L481275,47,39,38.393975,102,7,26.122812,5282593.3558,284062.7783,1591.746,47.6606649930556,102.123923003333
20,Архангай,Хайрхан,650012,GPSB00018,48,36,45.501401,102,11,50.000885,5388188.38,293423.0441,1723.795,48.6126392780556,102.197222468056
21,Архангай,Хангай,650001,GPSB00019,47,53,6.808624,99,47,20.686609,5303844.8901,558992.0479,2760.621,47.8852246177778,99.7890796136111
22,Архангай,Хашаат,650021,GPSB00020,47,40,4.29931,103,14,17.738305,5280888.7934,367742.7684,1219.82,47.6678609194445,103.238260640278
23,Архангай,Хашаат,650022,GPSB00021,47,31,16.197665,102,52,29.367479,5265270.8147,340013.2484,1492.214,47.5211660180556,102.874824299722
24,Архангай,Хашаат,650023,GPSB00022,47,23,29.103717,102,49,50.176669,5250944.128,336282.0359,1445.696,47.3914176991667,102.830604630278
25,Архангай,Хашаат,650024,GPSB00023,47,14,25.370296,103,22,24.539294,5233160.3397,376900.0841,1572.287,47.2403806377778,103.373483137222
26,Архангай,Хашаат,650025,GPSB00024,47,4,19.745739,103,25,2.687347,5214397.2932,379846.0737,1754.333,47.0721515941667,103.417413151944
27,Архангай,Хашаат,ГЦХ1 650026,GPSB00025,47,19,14.354729,103,37,24.933532,5241716.7961,395986.3278,1319.731,47.3206540913889,103.623592647778
28,Архангай,Хашаат,ГЦХ1 650027,GPSB00026,47,12,20.550377,103,33,51.56312,5229023.8431,391272.3236,1427.411,47.2057084380556,103.564323088889
29,Архангай,Цэцэрлэг,650011,GPSB00027,48,48,29.789922,101,19,54.057272,5408764.939,671192.568,1819.949,48.8082749783333,101.331682575556
30,Архангай,Чулуут,Oвоот уул,L47138,47,29,32.492848,100,11,2.991802,5260560.0912,589195.8772,2429.446,47.4923591244445,100.184164389444
31,Архангай,Чулуут,650005,GPSB00028,47,32,16.869176,100,13,14.393471,5265677.0305,591865.4621,2079.681,47.5380192155556,100.220664853056
32,Архангай,Эрдэнэмандал,650009,GPSB00029,48,32,13.666263,101,23,0.641844,5378745.9037,675939.5901,1498.021,48.5371295175,101.383511623333
33,Баянхонгор,Баянговь,Солонци,L47275,44,50,36.935468,99,41,13.107665,4965805.3464,554291.2,1955.332,44.8435931855556,99.6869743513889
34,Баянхонгор,Баянговь,Муу толгойн булаг,L47276,44,43,58.611635,99,42,39.153995,4953530.7316,556287.5794,1878.502,44.7329476763889,99.7108761097222
35,Баянхонгор,Баянговь,Нарийн шандын худаг,L47085,44,52,34.382141,99,52,37.179396,4969573.921,569269.2452,2005.975,44.8762172613889,99.8769942766667
36,Баянхонгор,Баянговь,Зангат уул,L47298,44,28,4.728114,99,48,5.328445,4924164.849,563750.7709,2191.733,44.4679800316667,99.8014801236111
37,Баянхонгор,Баянговь,Подгорней,L47295,44,38,9.431759,99,56,29.339836,4942941.783,574671.7122,1709.121,44.6359532663889,99.9414832877778
38,Баянхонгор,Баянговь,Хавтгай уул,L47091,44,24,59.203013,100,2,43.770561,4918659.6947,583232.9623,2104.705,44.4164452813889,100.0454918225
39,Баянхонгор,Баянговь,Улаан уушгийн худаг,L47096,44,3,55.466757,100,6,17.917253,4879731.0449,588493.3565,1443.381,44.0654074325,100.104977014722
40,Баянхонгор,Баянлиг,Дунд могойн худаг,L47090,44,25,33.866505,100,15,12.823467,4919961.8492,599781.3777,1893.937,44.4260740291667,100.253562074167
41,Баянхонгор,Баянлиг,Сүүж уул,L47303,44,33,49.231064,100,37,16.240801,4935760.3264,628739.942,1620.081,44.5636752955556,100.621178000278
42,Баянхонгор,Баянлиг,Пц-3154,GPSB00030,44,32,10.901164,100,45,34.827107,4932954.0771,639803.558,1356.841,44.5363614344444,100.759674196389
43,Баянхонгор,Баянлиг,Халтар худаг,L47304,44,20,6.403718,100,49,40.520288,4910718.9095,645725.2723,1659.077,44.3351121438889,100.827922302222
44,Баянхонгор,Баянлиг,Гашуун худаг,L47306,44,36,48.008018,101,1,59.403429,4942008.9787,661319.3265,1591.746,44.6133355605556,101.033167619167
45,Баянхонгор,Баянлиг,Гашуун худаг-1,L47305,44,36,53.83894,101,2,7.908051,4942193.5726,661502.2781,1622.654,44.6149552611111,101.035530014167
46,Баянхонгор,Баянлиг,Буйлсын ус,L47330,44,10,0.669096,101,1,15.65518,4892391.0215,661579.3565,1481.883,44.1668525266667,101.021015327778
47,Баянхонгор,Баян-Овоо,Ар гурван таг,L47032,46,27,44.160152,100,32,15.729244,5146559.2816,618071.716,2868.709,46.4622667088889,100.537702567778
48,Баянхонгор,Баян-Овоо,Хөх хошуу уул,L47041,45,58,37.783496,100,16,33.643718,5092301.5626,598844.9487,1906.406,45.9771620822222,100.276012143889
49,Баянхонгор,Баян-Өндөр,Цэнхэр уул,K47179,43,37,30.400153,98,23,12.575137,4830418.7683,450530.8238,1010.151,43.6251111536111,98.3868264269445
50,Баянхонгор,Баян-Өндөр,Хөх нуруу,GPSB00031,42,59,5.297779,98,25,55.943663,4759283.8011,453708.6366,2028.955,42.9848049386111,98.4322065730556
51,Баянхонгор,Баян-Өндөр,Хонгио уул,GPSB00032,42,55,56.564913,98,21,2.116289,4753510.2141,447009.3939,2089.991,42.9323791425,98.3505878580555
52,Баянхонгор,Баян-Өндөр,Бага толь,L47285,44,36,12.763384,98,18,28.117929,4939143.8506,445069.9561,1572.847,44.6035453844444,98.3078105358333
53,Баянхонгор,Баян-Өндөр,Сангийн далай,L47289,44,30,40.68375,98,36,27.339447,4928739.3486,468810.6509,1589.18,44.5113010416667,98.6075942908333
54,Баянхонгор,Баян-Өндөр,Доод жороо булаг,L47287,44,37,6.475108,98,50,25.30154,4940580.5465,487334.8263,1987.995,44.6184653077778,98.8403615388889
55,Баянхонгор,Баян-Өндөр,Улаан чулуут,L47316,44,11,7.015217,98,1,40.888363,4892911.3214,422315.5371,1564.769,44.1852820047222,98.0280245452778
56,Баянхонгор,Баян-Өндөр,Доод зээрэнгийн булаг,L47290,44,28,1.735507,98,57,24.251762,4923761.0637,496558.7264,1886.507,44.4671487519445,98.9567366005556
57,Баянхонгор,Баян-Цагаан,Эдмэгтийн булан,L47077,45,14,25.356051,98,55,38.053253,5009656.3419,494289.1934,2926.141,45.2403766808333,98.9272370147222
58,Баянхонгор,Баян-Цагаан,Хоёр худаг,L47076,45,17,29.309895,98,41,11.236562,5015378.2161,475413.4424,2306.821,45.2914749708333,98.6864546005556
59,Баянхонгор,Баян-Цагаан,Пц-6,GPSB00033,45,17,48.581968,98,39,11.854132,5015983.5848,472815.63,2164.569,45.2968283244444,98.6532928144445
60,Баянхонгор,Богд,Элст хошуу,L47249,45,21,55.118071,100,55,7.182349,5025323.659,650255.5702,1416.249,45.3653105752778,100.918661763611
61,Баянхонгор,Богд,Пц-3185,GPSB00034,45,5,28.63802,100,33,15.912474,4994266.7171,622317.3618,1232.056,45.0912883388889,100.554420131667
62,Баянхонгор,Богд,Пц-3,GPSB00035,45,4,37.511901,100,31,51.137239,4992653.7221,620494.174,1232.349,45.0770866391667,100.530871455278
63,Баянхонгор,Богд,Плато,L47262,45,7,38.006531,101,7,18.30815,4999273.4676,666855.9293,1307.9,45.1272240363889,101.121752263889
64,Баянхонгор,Бөмбөгөр,Бурхан,L47036,46,16,35.683471,100,1,28.120065,5125288.0348,578931.3241,2475.79,46.2765787419444,100.024477795833
65,Баянхонгор,Бууцагаан,Хатуу сүджин,L47079,45,9,21.076104,99,35,32.697535,5000434.7815,546564.682,1728.349,45.1558544733333,99.5924159819444
66,Баянхонгор,Бууцагаан,Бор овоо,L47221,46,10,29.37969,98,16,52.049663,5113723.4914,444511.4701,2105.527,46.1748276916667,98.2811249063889
67,Баянхонгор,Бууцагаан,Шинэ худаг,L47225,46,9,44.588769,98,39,38.761488,5112145.8481,473809.3641,2007.975,46.1623857691667,98.66076708
68,Баянхонгор,Бууцагаан,Пц-7,GPSB00036,46,10,37.923224,99,15,34.194867,5113768.7582,520029.332,1587.975,46.1772008955556,99.2594985741667
69,Баянхонгор,Галуут,Гра-0890,GPSB00037,46,42,21.213309,100,8,41.232472,5173118.2068,587509.167,2133.535,46.7058925858333,100.144786797778
70,Баянхонгор,Галуут,3156,GPSB00038,46,49,55.517598,100,3,48.445394,5187053.9468,581102.5867,2072.329,46.8320882216667,100.063457053889
71,Баянхонгор,Галуут,Нуурын гол,L47031,46,39,12.804984,100,34,12.059243,5167863.3897,620129.8948,3422.195,46.65355694,100.570016456389
72,Баянхонгор,Жаргалант,Пц-эр,GPSB00039,47,1,27.73886,99,28,39.014931,5207983.1062,536285.9877,2049.396,47.0243719055556,99.4775041475
73,Баянхонгор,Жинст,Тахир,L47067,45,32,1.459484,100,7,30.722848,5042860.4911,587855.7234,1343.711,45.5337387455556,100.125200791111
74,Баянхонгор,Өлзийт,Рп-5,GPSB00040,45,55,25.866568,101,10,42.437628,5087894.4444,668912.7943,2024.082,45.9238518244444,101.178454896667
75,Баянхонгор,Хүрээмарал,Хүрээ мандал уул,L47207,46,34,14.997977,98,22,9.62802,5157667.273,451671.284,2942.79,46.5708327713889,98.3693411166667
76,Баянхонгор,Хүрээмарал,Баян хөрөөт уул,L47210,46,37,9.726538,98,38,20.647711,5162930.5847,472365.7471,2752.112,46.6193684827778,98.6390688086111
77,Баянхонгор,Шинэжинст,Пц-1,GPSB00041,44,23,37.075857,99,8,51.649702,4915604.8166,511761.5904,1898.43,44.3936321825,99.1476804727778
78,Баянхонгор,Шинэжинст,Пц-2,GPSB00042,44,23,47.155572,99,8,38.348269,4915915.2953,511466.7784,1909.278,44.3964321033333,99.1439856302778
79,Баянхонгор,Шинэжинст,Пц-3184,GPSB00043,44,32,53.705579,99,16,30.723449,4932805.6946,521859.8069,2217.521,44.5482515497222,99.2752009580556
80,Баянхонгор,Шинэжинст,Холбоо худаг,L47297,44,36,24.001168,99,30,13.507508,4939381.0042,539974.0805,2017.213,44.6066669911111,99.5037520855556
81,Баянхонгор,Шинэжинст,Байшинтын задгай,L47322,44,17,5.802743,99,3,55.280493,4903523.9462,505214.6921,1749.935,44.2849452063889,99.0653556925
82,Баянхонгор,Шинэжинст,Баян булаг,L47325,44,2,2.831897,99,24,51.80634,4875745.9454,533204.3667,1434.816,44.0341199713889,99.41439065
83,Баянхонгор,Шинэжинст,Хөвийн хар толгой,L47324,44,8,36.769712,99,7,40.837511,4887824.4723,510238.3451,1574.015,44.1435471422222,99.1280104197222
84,Баянхонгор,Шинэжинст,Гурван эрэлийн уул,L47326,44,2,0.798279,99,3,53.194637,4875601.7797,505190.4535,1448.74,44.0335550775,99.0647762880556
85,Баянхонгор,Шинэжинст,Цагаан овоо,L47323,44,16,24.093827,99,26,35.44064,4902330.4833,535367.866,1766.2,44.2733593963889,99.4431779555556
86,Булган ,Баян агт,ГЦХ-1 63-0017,GPSB00044,48,58,39.903987,102,14,58.813741,298754.9975,5428627.893,1569.855,48.9777511075,102.249670483611
87,Булган ,Орхон,ГЦХ-1 63-0015,GPSB00045,48,55,9.390138,103,4,18.597274,358744.7975,5420273.961,1971.019,48.9192750383333,103.071832576111
88,Булган ,Хутаг-өндөр,ГЦХ-1 63-0002,GPSB00046,49,12,27.907839,102,47,47.382325,339507.2318,5452888.031,1922.446,49.2077521775,102.796495090278
89,Говьсүмбэр ,Баянтал,ГЦХ-1 47-0014,GPSB00047,46,40,8.123668,108,29,29.025979,308110.5537,5171430.4273,1350.908,46.6689232411111,108.491396105278
90,Говьсүмбэр ,Сүмбэр,ГЦХ-1 47-0001,GPSB00048,46,21,15.2087,108,21,38.661755,296947.2832,5136790.828,1280.14,46.3542246388889,108.360739376389
91,Говьсүмбэр ,Сүмбэр,ГЦХ-1 47-0012,GPSB00049,46,23,3.33883,108,27,7.081522,304073.2041,5139898.054,1366.926,46.3842607861111,108.451967089444
92,Говьсүмбэр ,Сүмбэр,ГЦХ-1 47-0016,GPSB00050,46,21,26.681616,108,22,4.169957,297504.18,5137126.763,1287.702,46.35741156,108.367824988056
93,Говьсүмбэр ,Сүмбэр,ГЦХ-1 47-0011,GPSB00051,46,23,45.033726,108,38,34.426655,318792.3365,5140729.678,1683.058,46.3958427016667,108.642896293056
