Aimag,Sum,Point_name,Class,PID,B_gradWGS84,B_minWGS84,B_secWGS84,L_gradWGS84,L_minWGS84,L_secWGS84,N_UTM,E_UTM,Ondor,Gravity,RMS,B_degree,L_degree
Улаанбаатар,Баянзүрх,Улаанбаатар,I,G0001,47,51,54.62,107,3,8.1,5303353.679,653483.846,1316.837,980430.623,0.021,47.865,107.052
Улаанбаатар,Баянзүрх,Хүрэл тогоот,I,G1411,47,51,51.92,107,3,10.03,5303273.846,653525.466,1594.681,980359.329,0.014,47.864,107.053
Ховд,Жаргалант,Ховд,I,G0024,48,0,0.9,91,38,7.5,5317231.797,398220.120,1397.128,980408.211,0.018,48.000,91.635
Хөвсгөл,Мөрөн,Мөрөн,I,G0037,49,38,16.92,100,9,37.42,5499033.371,583783.862,1278.052,980563.536,0.019,49.638,100.160
Дорнод,Чойбалсан,Чойбалсан,I,G0033,48,4,32.5,114,31,56.45,5327659.146,316199.663,742.982,980646.310,0.019,48.076,114.532
Өмнөговь,Даланзадгад,Даланзадгад,I,G0017,43,34,24.98,104,25,39.03,4824675.734,453772.850,1465.192,980010.880,0.017,43.573,104.428
Дорнод,Чулуунхороот,Эрээнцав,I,G0009,49,52,9.5248,115,40,55.3694,5524933.324,405291.778,620.734,980854.924,0.034,49.869,115.682
Хөвсгөл,Ханх,Турт,I,G1982,51,30,39.26278,100,45,40.79148,5708112.785,622225.305,1695.053,980666.624,0.026,51.511,100.761
Улаанбаатар,Хан-Уул,Буянт ухаа,I,G0049,47,51,10.575,106,45,21.0141,5301447.344,631347.540,1266.703,980441.230,0.012,47.853,106.756
Баян-Өлгий,Өлгий,Өлгий,I,G0036,48,58,56.1996,89,56,16.1296,5429645.115,714942.372,1721.871,980396.115,0.026,48.982,89.938
Увс,Улаангом,Улаангом,I,G0027,49,58,18.1662,92,4,45.3125,5535891.839,433974.595,940.148,980706.701,0.029,49.972,92.079
Завхан,Тэс,Зурэ,I,G3303,49,39,2.6606,95,47,34.3049,5503545.200,701589.724,1291.493,980574.769,0.027,49.651,95.793
Ховд,Жаргалант,Ховд,I,G0025,47,57,46.7699,91,37,28.6661,5313102.218,397331.193,1453.344,980384.795,0.023,47.963,91.624
Хөвсгөл,Мөрөн,Мөрөн,I,G0035,49,39,45.2781,100,5,42.8648,5501691.463,579039.876,1296.330,980562.058,0.025,49.663,100.095
Сэлэнгэ,Сүхбаатар,Сүхбаатар,I,G0845,50,13,56.0026,106,15,9.2109,5565201.591,589332.423,636.725,980837.739,0.033,50.232,106.253
Булган,Булган,Булган,I,G4210,48,51,15.8211,103,28,59.3253,5412378.984,388732.148,1293.079,980535.935,0.027,48.854,103.483
Дорнод,Чойбалсан,Чойбалсан,I,G0062,48,5,26.171,114,34,58.2389,5329196.686,320012.673,749.416,980641.577,0.021,48.091,114.583
Ховд,Булган,Бүрэнхайрхан,I,G0013,46,6,20.2077,91,34,52.934,5106760.101,390361.809,1192.397,980279.724,0.028,46.106,91.581
Завхан,Улиастай,Улиастай,I,G3676,47,43,36.0936,96,50,50.3944,5288168.294,338577.891,1776.768,980251.727,0.027,47.727,96.847
Архангай,Эрдэнэбулган,Цэцэрлэг,I,G0046,47,27,58.0131,101,28,57.9369,5259951.887,687100.500,1676.607,980274.019,0.023,47.466,101.483
Говь-Алтай,Есөнбулаг,Алтай,I,G0003,46,22,37.04528,96,14,9.49481,5139644.337,287436.748,2180.894,980091.771,0.03,46.377,96.236
Баянхонгор,Баянхонгор,Баянхонгор,I,G0014,46,10,29.1206,100,42,22.5168,5114879.342,631701.932,1859.256,980130.936,0.025,46.175,100.706
Өвөрхангай,Арвайхээр,Арвайхээр,I,G0012,46,15,33.3299,102,47,23.1993,5125227.773,329660.254,1812.635,980145.007,0.023,46.259,102.790
Дундговь,Мандалговь,Мандалговь,I,G0039,45,44,35.19448,106,15,52.8795,5066283.558,598379.782,1394.279,980230.862,0.022,45.743,106.264
Хэнтий,Өндөрхаан,Өндөрхаан,I,G0019,47,18,31.27791,110,37,24.3083,5239537.207,471535.537,1034.170,980473.003,0.02,47.309,110.623
Дорноговь,Сайншанд,Сайншанд,I,G0048,44,51,52.9686,110,7,28.3284,4968294.720,430837.840,913.800,980292.079,0.018,44.864,110.124
Дорнод,Халх гол,Цагааннуур,I,G0005,47,34,22.1812,118,35,44.2124,5270175.832,620038.471,785.312,980607.375,0.018,47.573,118.596
Сүхбаатар,Эрдэнэцагаан,Чоно гол,I,G0004,45,53,36.8555,115,22,41.6159,5083501.372,374182.284,1073.918,980360.568,0.023,45.893,115.378
Өмнөговь,Даланзадгад,Даланзадгад,I,G0011,43,35,13.0387,104,25,32.9107,4826158.669,453646.509,1452.727,980013.546,0.02,43.587,104.426
